msg_id_parent,nr_replies
c0d5fxy,1
c0d5ju7,2
c0d5l1s,2
c0d5vto,2
c0d5wrw,1
c0d6cg7,1
c0d6h8i,1
c0d6ima,2
c0d6jmd,2
c0d6pf5,1
c0d6s3z,1
c7m7a4z,3
c7mn3mv,1
c7mo1h6,1
c7moscd,1
c7n6n6l,1
c7n7whk,1
c7ndfht,1
c7neclv,1
c7o5arf,1
cctz7j7,1
d9debe0,1
dq0kfc1,1
dqoddgd,1
dr01gjb,2
du6xo8q,1
du79z0k,1
dxli6kh,1
e2kcf95,1
e8hox07,1
ecoydud,1
ef20ers,1
ekb2jc2,2
ezfxe5f,3
f0qvgkf,2
f1qhkwg,1
f22rpyj,1
f28ayvy,2
f34qqzg,3
f3c174g,1
f3ppsps,1
f486fg3,1
f8yp54s,1
g4bztla,1
g4h5utc,1
g4j4omb,1
g4jzguc,1
g4vnm3w,1
g4vu9n2,1
g5iuc1i,2
g5ivzju,3
g5iyj7w,2
g5j9axl,1
g5k6qmw,1
g5lazac,2
g5m3t8y,2
g5qd7dw,1
g5qefd7,1
g5qgv0x,2
g5qlw7m,1
g5qufd2,1
g5sezhq,1
g5tn0fm,3
g5w8dq3,1
g5w9fjb,1
g5wfhwd,1
g5wxchc,1
g5yso3e,2
g5z03gg,1
g5z2yy0,1
g5zfdwd,2
g5zusw3,1
g60unpy,1
g61f1xg,2
g61m1q6,1
g61unxf,1
g61zqg4,1
g62kj8d,2
g62vllp,1
g63k39s,1
g63por4,2
g63swf6,1
g63u22x,1
g63uvi9,1
g63ydiw,1
g6470ur,2
g64fvty,1
g64k102,1
g64m2wo,1
g64spva,2
g6587ua,1
g65yvti,1
g67kmbn,1
g67l8yv,2
g67lm9x,2
g67lz97,2
g67p0r2,1
g67ral3,1
g67t174,2
g67u5u4,1
g67u7pb,2
g67yrjh,1
g67zfdz,1
g681jym,1
g68at3j,2
g698ra2,1
g69nq2h,1
g6aucbc,1
g6bcfob,1
g6bi70s,1
g6brveh,1
g6bs4di,1
g6bu6d3,1
g6bzv4r,1
g6cc0fd,1
g6fq1n7,1
g6gnh5j,1
g6gns9a,2
g6gy9jb,1
g6l9yd1,1
g6yadf9,1
g778wyg,1
g79snxk,1
g7cejvl,1
g7celak,1
g7ctz9u,1
g7cyv4s,3
g7d6hnc,1
g7dku7t,1
g7e6job,1
g7eedrs,1
g7l22jw,1
g7lidjd,2
g7nakpq,1
g7t4xbe,1
g7tbnjl,3
g7wnqh2,1
g82jub2,1
g82k6yn,2
g847l7e,1
g851etq,1
g85gf6b,2
g85j9uq,2
g85r2j5,1
g86jp2w,2
g8bsw0t,4
g8jdu44,1
g8oxwu4,4
g8p0udy,1
g8wca91,2
g8wjzn1,1
g8y1o4e,1
g8y6rxh,1
g91lkjx,2
g91upje,1
g91uyyy,1
g92b2yp,1
g92ekvq,2
g93pa8t,4
g95aunl,2
g95rw3x,4
g9645q4,1
g996i86,1
g9c7utg,4
g9c8p9y,2
g9cc0uf,1
g9cdlls,4
g9d6hop,1
g9detko,2
g9dhjl6,3
g9didos,1
g9dl7wc,3
g9dn07r,1
g9dnwdt,1
g9dvv4a,1
g9ejlb7,1
g9eoen8,4
g9f2uzo,1
g9gh963,1
g9nm3b1,1
g9sfooe,6
g9smyxh,2
g9t0hjq,1
ga11wy3,1
ga1v6eg,2
ga8wuib,1
ga97w1z,1
ga97x92,1
ga98jnn,3
ga9ssok,1
gaa5fge,2
gaa724f,1
gacnobt,1
gahe1zj,1
gahg63m,1
gahkatq,1
gaidw45,1
gaoolyy,1
gaor4dk,1
gaozd4s,1
gap18vu,3
gap8bmk,1
gapax44,2
gapyq75,1
garbyxf,2
garp7yq,1
garqui8,2
garrel4,2
gas0oo1,1
gas4lss,2
gat9x1m,1
gazm9gc,1
gb055oo,1
gb4l9rg,1
gb4lhjw,2
gb500gu,2
gb51j00,1
gb582e7,1
gb6atox,2
gb9m3bq,1
gbidfg2,1
gbnfn8u,1
gcot251,2
gcp9l01,2
