msg_id_parent,nr_replies
c0d5jwa,1
c0d5m53,3
c0d5zrm,2
c0d71cb,1
c0d8yx9,2
c7fp333,2
c7fp9wr,1
c7fqhuh,1
c7fv7cr,1
c7fxn8d,1
c7fzbw6,1
c7gabtk,2
c7geivy,1
c7gydck,2
c7gzhym,1
c7hu6uy,1
c7jtvqg,1
c7ma69h,1
c7mddi9,2
c7mexqa,1
c7mf1qi,1
c7mfscn,2
c7mg0dn,2
c7mjz5b,1
c7mk3fv,2
c7mkncl,1
c7ml85u,1
c7mlbdl,1
c7mlj5n,1
c7mlzck,1
c7mmof8,1
c7mscd9,1
c7mtx1b,1
c7mut2z,1
c7mzb5u,1
c7n1es9,1
c7o4zxp,1
c7o54tq,1
c7ocr5l,1
c7opprp,1
c7q3j87,1
c7q4fem,1
c7z1gzt,1
c7z1qit,1
c7zhlo0,1
c7zkqwf,1
c848h0c,2
c87rhq7,1
c87w6jk,1
c9c8h3h,1
c9decc0,1
cz3hx4s,1
debq10b,1
dmgqh5b,1
du45eph,2
dx0bo3r,1
dx6adwe,1
dxlibnc,1
dxvo3rs,2
dy4lzz3,1
dzgn8di,3
e0ezvgn,1
e18lyyb,1
e18m92q,1
e95xgj8,1
e98hpte,1
e9okq3q,2
e9pr7sw,1
ea8gydg,1
eabxepm,1
eabxwk7,1
ebi78we,1
ecoy1xy,1
ecxdmyz,1
egcnl4f,1
ei96x4i,2
ei99l02,3
eibup88,1
eic3nre,1
eic46ay,2
eidmsmu,2
eiejevi,1
eiil3k0,1
eikp2i8,1
eixpkp8,1
eixry74,1
ejnjd5t,1
ejnttir,1
ek7kd05,1
ek860c0,2
ek8gwdl,1
ek91jhl,1
ekh9jn6,1
el8o60s,1
el9bhnv,2
eljqpwo,3
em24ozy,1
em9re8q,1
emnk2sv,1
eohknh5,1
epn1h0a,1
erolv4x,1
erovq3o,1
erwlabo,1
es7l9lq,1
es7p4tq,1
esi56jn,1
etq2ser,1
evczirh,1
evq8u5c,2
eyycaxv,2
eyzuegd,3
ezcelp4,1
eze4cl7,1
ezwbhyx,1
ezxhbo8,3
f01vkq9,1
f01vu1l,1
f2449yj,1
f28vpfm,3
f297jyy,1
f297qbs,1
f2aecmz,1
f2t7lrf,1
f3dexiz,1
f3dya3d,1
f3g6iiu,1
f5y1pnr,1
f84lmy4,2
f8vkpuj,2
f8wdpdz,1
f8xm98j,1
f92q4qr,1
f9u40hq,1
fap2nnd,1
fbblzjw,1
fcg45cm,1
fekuoso,1
fekxgxw,1
feky4di,2
fgnjufu,1
fgnp0u1,1
fh0lim8,1
fhumxld,1
fjnmdxg,1
fjnnnvl,2
fnibbi6,1
fnikaus,1
g3pqp2b,4
g47gevr,1
g48ytsy,1
g4959ca,1
g4el47m,1
g4j3vvr,1
g4jfk3h,1
g4vqawv,1
g5567uk,2
g5iim15,1
g5ij7pq,1
g5ijd38,1
g5j3j81,1
g5jb3mf,3
g5jbayv,4
g5jh16s,1
g5jvcka,3
g5k7e5x,3
g5lek4a,1
g5liu3e,1
g5mx04a,3
g5nxqt4,1
g5o3lkl,4
g5o436j,1
g5pt59t,2
g5pta3q,2
g5ptfjf,3
g5purj7,2
g5pzm85,1
g5q486a,1
g5qhszu,1
g5qiry2,2
g5ql05q,5
g5qlqui,1
g5qpy43,1
g5qrto7,1
g5qsedj,2
g5qszqs,2
g5qvhh1,1
g5qvhp9,1
g5qz0zm,1
g5r0mhw,1
g5r2bxi,1
g5r3rzj,1
g5r4uho,1
g5riwdf,1
g5rllih,1
g5s4amh,1
g5s73dk,1
g5sm2wq,1
g5snl26,1
g5so1wd,1
g5soqvd,1
g5t5dnb,1
g5t6wwi,1
g5u0syc,1
g5u1x6y,1
g5u2lj9,1
g5u8xfk,1
g5uamb8,2
g5vkq5j,1
g5vqc47,1
g5w3kgb,2
g5wdeax,3
g5wf97d,4
g5wjymn,1
g5wp1zk,1
g5wpfhu,1
g5wxk1h,3
g5x0bm4,1
g5x8an9,1
g5x98mt,2
g5xazah,2
g5xb0ij,1
g5y2bwr,1
g5y2xhg,1
g5y5ym5,1
g5y6kqu,1
g5y868e,1
g5ydms6,1
